Player,matches,runs,average,strike_rate,centuries,half_centuries,fours,sixes
MJ Clarke (AUS),245,7981,44.58,78.98,8,58,665,53
SP Fleming (ICC/NZ),280,8037,32.4,71.49,8,49,823,63
Imam-ul-Haq (PAK),46,2023,49.34,80.3,7,10,161,16
Zaheer Abbas (PAK),62,2572,47.62,84.8,7,13,213,22
SE Marsh (AUS),73,2773,40.77,81.41,7,15,247,36
A Balbirnie (IRE),84,2462,32.39,75.47,7,12,236,30
DI Gower (ENG),114,3170,30.77,75.15,7,12,290,22
DM Jones (AUS),164,6068,44.61,72.56,7,46,380,64
ADR Campbell (ZIM),188,5185,30.5,66.18,7,30,427,44
CL Hooper (WI),227,5761,35.34,76.63,7,29,409,65
Younis Khan (PAK),265,7249,31.24,75.29,7,48,578,56
M Azharuddin (INDIA),334,9378,36.92,74.02,7,58,622,77
Fakhar Zaman (PAK),53,2325,47.44,94.7,6,13,263,45
AD Hales (ENG),70,2419,37.79,95.72,6,14,276,50
EC Joyce (ENG/IRE),78,2622,38,72.23,6,15,255,25
Ahmed Shehzad (PAK),81,2605,32.56,72.08,6,14,269,18
VVS Laxman (INDIA),86,2338,30.76,71.23,6,10,222,4
Mohammad Shahzad (AFG),84,2727,33.66,88.48,6,14,323,55
MDKJ Perera (SL),107,3071,31.65,92.27,6,15,333,50
AJ Strauss (ENG),127,4205,35.63,80.94,6,27,454,25
NS Sidhu (INDIA),136,4413,37.08,69.72,6,33,335,44
A Symonds (AUS),198,5088,39.75,92.44,6,30,449,103
A Jadeja (INDIA),196,5359,37.47,69.79,6,30,366,85
MG Bevan (AUS),232,6912,53.58,74.16,6,46,450,21
GW Flower (ZIM),221,6571,33.52,67.58,6,40,557,37
Shahid Afridi (Asia/ICC/PAK),398,8064,23.57,117,6,39,730,351
RN ten Doeschate (NED),33,1541,67,87.7,5,9,130,29
KL Rahul (INDIA),38,1509,48.67,89.28,5,9,114,36
SO Hetmyer (WI),47,1447,35.29,106.39,5,4,111,52
Rahmat Shah (AFG),76,2467,35.75,70.62,5,16,215,28
AN Cook (ENG),92,3204,36.4,77.13,5,19,363,10
TWM Latham (NZ),102,2824,34.02,83.72,5,16,239,36
NV Knight (ENG),100,3637,40.41,71.52,5,25,327,21
WW Hinds (WI),119,2880,28.51,65.55,5,14,261,50
GA Hick (ENG),120,3846,37.33,74.08,5,27,278,41
DA Miller (SA),137,3367,40.56,100.83,5,16,247,92
Kamran Akmal (PAK),157,3236,26.09,83.94,5,10,378,37
PV Simmons (WI),143,3675,28.93,67.96,5,18,376,44
Aamer Sohail (PAK),156,4780,31.86,65.5,5,31,467,20
RR Sarwan (WI),181,5804,42.67,75.74,5,38,480,58
DC Boon (AUS),181,5964,37.04,65.13,5,37,494,16
PD Collingwood (ENG),197,5092,35.36,76.98,5,26,365,74
DR Martyn (AUS),208,5346,40.8,77.73,5,37,441,22
SK Raina (INDIA),226,5615,35.31,93.5,5,36,476,120
H Masakadza (ZIM),209,5658,27.73,73.21,5,34,585,86
RB Richardson (WI),224,6248,33.41,63.74,5,44,541,54
BB McCullum (NZ),260,6083,30.41,96.37,5,32,577,200
Saleem Malik (PAK),283,7170,32.88,76.41,5,47,514,34
