LIMITBAL,AGE,PAY0,PAY1,PAY2,PAY3,PAY4,PAYMENT
240000,44,1,-2,-2,-2,-2,1
470000,33,0,0,0,0,0,0
360000,26,0,0,0,0,0,0
60000,30,0,0,0,0,0,1
400000,44,0,0,2,0,0,0
50000,49,0,0,0,0,0,0
160000,33,0,0,0,0,0,0
360000,45,-1,-1,2,0,-1,1
160000,32,0,0,0,0,0,0
130000,35,0,0,0,-1,-1,0
20000,44,2,2,0,0,0,0
200000,53,2,2,2,2,2,1
280000,39,-1,-1,-1,0,0,0
100000,27,-2,-2,-2,-2,-2,0
160000,37,-1,-1,-1,-1,-1,0
60000,23,0,0,0,0,0,0
90000,35,0,0,0,0,0,0
360000,43,-1,-1,-1,-1,-1,0
150000,27,0,0,0,0,0,0
50000,22,0,0,0,0,0,0
20000,38,0,0,0,0,0,1
140000,32,-2,-2,-2,-2,-2,0
380000,30,-2,-2,-1,0,0,0
480000,63,0,0,0,2,2,0
50000,22,0,0,0,0,0,1
60000,26,2,2,2,2,2,0
70000,24,-1,-1,-2,-2,-2,0
80000,36,-1,-1,-1,-1,-1,0
350000,52,-1,-1,-1,-1,-1,0
130000,38,0,0,0,-1,-1,0
360000,35,1,-2,-2,-2,-2,0
330000,31,0,0,2,0,0,0
50000,47,0,0,2,0,0,0
280000,41,2,2,2,2,2,0
100000,24,0,0,0,0,0,0
50000,41,0,0,0,0,0,0
30000,24,-1,2,0,0,3,1
240000,28,-1,-1,-1,-1,-1,0
80000,26,2,0,0,0,0,1
400000,34,-1,-1,-1,-1,-1,0
240000,38,0,0,0,0,-1,0
50000,37,2,2,2,3,2,1
450000,40,1,-2,-2,-2,-2,1
110000,48,1,-2,-2,-2,-2,0
310000,35,2,0,0,0,0,1
20000,27,0,0,0,0,0,0
20000,23,1,-2,-2,-2,-2,0
200000,52,0,0,0,0,0,0
180000,36,0,0,0,0,0,1
50000,51,0,0,0,0,0,1
60000,55,3,2,2,0,0,0
30000,23,1,-2,-2,-2,-1,0
240000,41,1,-1,-1,0,0,0
420000,34,0,0,0,0,0,0
330000,46,0,0,0,0,0,0
30000,22,0,0,0,0,0,0
240000,34,0,0,0,2,2,0
150000,27,0,0,0,0,0,0
210000,33,0,0,0,0,0,0
50000,51,-1,-1,-1,-1,-2,1
50000,24,0,0,0,0,0,0
240000,47,1,-2,-2,-2,-2,1
180000,28,-1,-1,-1,-1,-1,0
50000,23,1,2,2,2,0,0
170000,29,-2,-2,-2,-2,-2,0
20000,29,-1,-1,-1,-1,0,0
50000,28,0,0,0,0,0,0
170000,27,0,0,0,0,0,1
200000,34,1,2,0,0,0,0
80000,23,1,2,3,2,0,0
260000,60,1,-2,-1,-1,-1,0
140000,32,0,0,0,0,2,0
80000,25,0,0,0,0,0,0
350000,41,1,-1,-1,-1,-1,0
280000,56,0,0,0,0,0,0
30000,26,0,0,0,0,0,0
140000,34,0,0,0,0,0,0
200000,37,0,0,0,0,0,0
200000,30,0,0,0,0,0,0
210000,45,2,3,4,4,5,1
50000,57,3,2,0,0,0,0
30000,41,2,2,2,2,2,0
50000,27,2,-1,-1,-1,-1,0
290000,47,-1,-1,-1,-1,0,0
250000,34,0,0,2,0,0,0
60000,46,0,0,0,0,0,0
110000,27,0,0,0,0,0,0
370000,50,-2,-2,-2,-2,-2,0
100000,27,-1,2,2,0,0,0
90000,35,0,0,0,0,0,0
50000,22,0,0,0,0,0,0
270000,37,0,0,0,0,0,0
300000,30,-1,-1,-1,-1,-1,0
50000,22,-1,0,0,0,0,0
50000,24,1,-2,-2,-2,-2,1
360000,29,1,-2,-1,-1,-2,0
130000,56,1,2,2,2,2,1
80000,30,-2,-1,0,0,0,0
50000,30,1,2,0,0,0,0
20000,22,0,0,0,0,0,0
80000,29,0,0,2,0,0,0
240000,37,-1,-1,2,0,0,0
80000,35,0,-1,0,0,0,0
500000,47,0,0,0,0,0,0
60000,24,0,0,0,0,0,1
20000,25,0,0,0,0,0,0
100000,38,1,2,0,0,2,1
360000,32,1,-1,-1,-1,-1,0
200000,47,2,2,2,2,2,1
130000,34,1,-1,0,0,0,0
20000,31,1,5,4,4,3,0
310000,32,0,0,0,0,0,0
60000,27,2,0,0,0,2,1
180000,29,-1,-1,-1,-2,-1,0
180000,24,-1,-1,2,0,0,0
50000,36,0,0,0,0,-1,0
50000,24,1,2,2,2,2,1
150000,34,-2,-2,-2,-2,-2,0
20000,22,0,0,0,0,-1,0
500000,34,-2,-2,-2,-1,-1,0
30000,22,1,2,2,0,0,1
180000,38,-2,-2,-2,-2,-2,0
140000,31,0,0,2,0,0,0
140000,26,-1,0,-1,-1,-1,0
120000,26,0,0,0,0,0,0
360000,48,0,0,0,0,0,0
20000,43,-1,-1,0,0,0,0
100000,47,-1,-1,-1,-1,-1,0
210000,41,-1,-1,-1,-1,-1,1
80000,24,0,0,0,0,0,1
330000,50,-1,-1,-1,-1,-2,0
220000,24,0,0,0,-1,-1,0
210000,38,1,-2,-1,0,-1,1
40000,43,0,0,0,0,0,0
30000,39,0,0,0,2,0,0
470000,27,2,2,2,2,0,0
30000,42,-1,-1,-1,-1,-1,0
240000,36,1,-2,-2,-2,-2,1
80000,36,2,0,0,0,0,0
110000,31,0,0,0,0,0,0
310000,38,-1,-1,-1,-1,-2,0
360000,40,2,2,2,0,0,1
330000,45,0,0,0,0,0,0
300000,35,0,0,0,0,0,0
320000,33,0,0,0,0,0,0
50000,37,1,3,2,0,0,1
170000,28,0,0,0,0,0,0
350000,44,-1,-1,-1,-1,-1,0
20000,37,0,0,0,0,0,0
50000,23,2,0,0,0,0,1
20000,24,1,2,0,0,0,0
50000,24,0,0,0,0,0,0
20000,23,1,2,0,0,2,1
50000,26,0,0,-2,-1,-1,0
190000,34,2,0,0,0,2,1
60000,33,0,0,0,0,0,0
80000,35,-1,-1,-1,-1,-1,0
150000,27,0,0,0,0,0,0
210000,31,-2,-2,-2,-2,-1,0
240000,50,0,0,0,0,0,1
140000,41,0,0,0,0,0,1
60000,28,1,2,2,-2,-2,0
50000,39,0,0,0,0,0,0
50000,27,0,0,0,0,0,0
180000,32,-1,-1,2,2,-1,0
30000,40,-1,-1,2,2,2,0
20000,40,0,0,0,0,0,0
250000,75,0,-1,-1,-1,-1,0
100000,27,0,0,0,0,0,0
330000,25,0,0,0,0,2,0
50000,46,0,0,0,0,0,0
50000,26,1,2,2,0,0,0
30000,28,0,0,0,0,0,0
140000,26,0,0,0,0,0,1
160000,28,0,0,0,0,-1,0
400000,29,-1,0,-1,-1,-1,0
50000,25,0,0,0,0,0,0
140000,48,0,-1,-1,-1,-1,0
160000,33,-1,-1,-1,-1,0,0
100000,43,0,0,-2,-2,-2,0
220000,48,2,0,0,0,0,1
510000,29,0,0,0,0,0,0
50000,29,0,0,0,0,0,0
160000,38,-1,-1,-1,-1,2,0
230000,37,-2,-2,-2,-2,-2,0
80000,37,-1,-1,-1,-1,-1,0
150000,25,-1,-1,-2,-1,-1,0
10000,23,0,0,0,0,0,0
130000,49,0,0,0,0,0,1
40000,48,0,0,0,0,0,0
50000,27,3,2,2,0,0,1
100000,32,0,0,0,0,0,0
120000,34,-1,2,-1,0,0,0
260000,58,1,-2,-2,-2,-2,1
200000,33,0,0,0,0,0,0
360000,28,-2,-2,-2,-2,-2,1
70000,36,0,0,0,0,0,0
460000,40,2,-1,-1,-1,-1,1
50000,26,-1,-1,-1,-1,-1,0
50000,33,0,0,0,0,0,0
250000,31,0,0,0,0,0,0
30000,27,0,0,-1,0,0,0
270000,44,0,0,0,0,-1,0
180000,30,0,0,0,0,0,0
100000,28,0,0,0,0,0,0
230000,32,0,0,0,0,0,0
210000,46,-1,-1,-1,-1,-1,0
210000,38,2,0,0,0,0,0
440000,46,0,0,0,0,0,0
100000,25,2,0,0,0,0,1
240000,46,0,0,0,0,0,0
280000,33,-1,-1,-1,-1,-1,1
50000,22,1,-2,-2,-2,-2,1
30000,43,3,2,2,2,2,0
10000,27,0,0,2,0,0,1
130000,29,1,-2,-2,-2,-2,0
200000,31,0,0,0,0,0,0
120000,29,-1,-1,-1,-1,-1,0
210000,36,0,0,0,0,0,0
280000,36,0,0,0,0,0,0
300000,34,1,-2,-1,0,-1,1
100000,37,0,0,0,0,0,0
440000,36,-2,-2,-2,-2,-2,0
50000,40,0,0,0,0,0,0
20000,25,0,0,2,0,0,1
200000,27,-1,-1,-1,0,0,0
110000,26,-2,-2,-2,-2,-2,0
500000,36,-1,-1,-1,-1,-1,0
300000,27,1,-1,-1,-2,-2,0
30000,55,2,2,2,3,3,1
60000,27,-1,-1,-1,-1,-1,0
400000,38,-1,0,-1,-1,0,0
180000,34,0,0,0,0,0,0
20000,40,0,0,0,2,0,0
200000,49,-1,2,2,2,0,1
100000,27,0,0,0,0,0,0
60000,23,0,0,0,0,0,1
110000,36,0,0,0,0,0,0
260000,53,1,-1,-1,-2,-2,0
50000,46,3,2,2,0,0,0
180000,29,1,-2,-2,-2,-2,0
110000,29,1,2,2,0,0,1
340000,27,0,0,0,0,0,0
50000,24,-1,0,0,0,0,0
230000,28,0,0,0,-2,-1,1
360000,32,0,0,0,0,0,0
210000,43,1,-2,-1,0,0,0
220000,41,-1,2,2,-1,2,1
60000,34,2,2,2,2,2,1
340000,55,-2,-1,-1,-2,-2,0
150000,40,2,2,2,2,2,0
200000,37,1,-1,2,-1,-1,1
130000,40,0,0,2,0,0,1
60000,28,1,2,0,0,0,0
400000,43,1,-2,-2,-2,-1,0
20000,27,0,0,0,0,0,0
190000,28,0,0,0,0,0,0
260000,30,0,0,0,0,0,0
140000,31,-2,-2,-2,-2,-2,0
50000,31,0,0,0,0,0,1
120000,34,-1,-1,0,-1,-1,0
240000,30,-2,-2,-2,-2,-2,0
50000,36,0,0,0,0,-1,0
200000,29,-1,2,-1,-1,-1,0
180000,39,0,0,-1,0,0,0
180000,26,0,0,0,0,0,0
160000,29,-1,-1,-2,-1,0,0
100000,26,-1,-1,-1,0,0,0
50000,29,0,0,0,0,0,1
140000,31,0,0,0,0,0,0
30000,26,0,0,0,0,0,1
90000,26,0,0,-1,0,0,0
200000,36,1,-2,-1,-1,-2,0
380000,30,1,-2,-2,-2,-2,1
80000,43,0,0,0,0,0,0
50000,58,2,2,2,0,0,0
180000,45,-1,0,0,0,0,1
240000,26,0,0,0,0,0,0
380000,34,0,0,0,0,0,0
110000,24,0,0,0,0,0,0
260000,34,-1,-1,-1,-1,-1,0
500000,23,4,3,2,0,0,1
320000,30,0,0,0,0,0,0
50000,32,4,3,2,0,0,0
110000,40,1,-2,-1,0,-1,1
230000,35,-2,-2,-2,-2,-2,0
330000,56,1,-1,-1,-2,-1,0
50000,61,0,0,0,0,0,0
10000,24,-1,2,2,2,0,0
300000,40,1,-2,-2,-2,-2,0
20000,32,3,2,0,0,0,1
180000,36,2,2,-2,-2,-2,1
160000,30,-1,-1,-1,-1,-1,0
90000,34,0,0,0,2,2,0
30000,54,0,0,0,0,0,0
180000,46,0,0,0,0,0,0
30000,58,0,0,0,0,0,0
30000,43,1,2,0,0,0,0
140000,28,-1,0,0,-1,-1,0
210000,30,0,0,0,0,0,0
50000,31,0,0,0,0,0,1
130000,29,0,0,0,0,0,0
50000,37,2,2,2,0,0,1
140000,36,0,0,0,0,0,0
170000,28,-1,0,0,2,0,1
80000,25,0,0,0,0,0,0
410000,42,0,0,0,0,0,0
80000,29,1,-1,-1,-2,-2,0
80000,73,-1,0,0,2,2,1
150000,43,0,0,0,0,0,0
260000,30,-1,-1,-1,0,0,1
350000,38,1,-2,-2,-2,-2,0
280000,39,1,-1,0,0,0,1
310000,44,0,0,0,0,0,0
140000,29,0,0,0,0,0,0
360000,51,-1,-1,-1,-2,-2,0
140000,27,0,0,0,0,0,0
100000,38,0,0,0,0,0,0
50000,22,-2,-2,-2,-2,-2,0
210000,30,0,0,0,0,0,0
120000,25,2,2,2,2,2,0
240000,29,0,0,0,0,0,0
60000,42,0,0,0,0,0,0
150000,41,-1,-1,-1,-1,-1,1
30000,48,0,0,0,0,0,0
160000,29,2,2,2,2,2,1
200000,52,-2,-2,-2,-2,-2,0
120000,25,0,0,0,-2,-2,0
500000,37,1,2,0,0,0,0
320000,27,0,0,0,0,0,0
280000,31,0,0,0,0,0,0
60000,23,1,2,2,2,2,1
200000,38,-1,-1,-2,-1,-1,0
230000,32,1,-2,-1,-1,-1,0
230000,27,1,2,0,0,0,1
480000,41,-2,-2,-2,-2,-2,0
50000,35,-1,-1,-1,-2,-2,0
200000,31,-2,-2,-2,-2,-2,0
50000,30,0,0,0,0,0,0
50000,48,0,0,0,0,0,0
260000,36,1,-2,-2,-2,-2,1
30000,24,2,0,0,0,0,0
440000,29,0,0,0,0,0,0
230000,38,-1,-1,-1,-1,-1,0
200000,38,2,2,2,0,0,1
490000,30,0,0,0,0,0,0
80000,32,-1,-1,-2,-2,-2,0
20000,49,2,2,2,2,0,1
170000,31,-1,-1,-1,-1,0,1
70000,27,0,0,0,0,0,0
210000,33,0,0,0,0,0,0
90000,25,0,0,0,0,0,0
390000,27,0,0,0,0,0,1
110000,29,0,0,0,0,0,0
580000,36,0,0,0,0,0,0
360000,55,0,0,-1,-1,-1,0
270000,32,1,2,2,2,2,1
60000,27,-1,-1,-2,-1,2,0
110000,37,0,0,0,0,0,0
50000,25,0,0,0,0,0,0
80000,23,0,0,0,0,0,1
50000,23,-1,-1,-1,-1,0,0
100000,32,0,0,0,0,2,0
30000,26,1,-2,-1,-1,-1,0
200000,27,0,0,0,0,0,0
240000,44,0,0,0,0,0,1
220000,34,0,0,0,0,0,0
160000,28,0,0,0,0,0,0
180000,53,-1,-1,-1,0,0,0
200000,42,0,0,0,0,0,0
140000,30,0,0,0,2,0,0
380000,51,1,-2,-2,-2,-2,1
600000,53,2,2,0,0,0,1
260000,37,0,0,0,-1,0,0
200000,26,0,0,-2,-2,-2,0
80000,42,0,0,0,0,0,0
40000,39,0,0,0,0,0,0
130000,39,1,2,2,2,2,0
50000,32,-1,0,0,0,0,0
230000,41,-1,-1,-1,-1,-1,0
70000,48,0,0,0,0,0,1
180000,38,0,0,0,0,0,0
80000,36,-1,-1,-1,-1,-1,0
290000,26,0,0,0,-1,-1,0
230000,28,0,0,0,0,0,0
170000,56,1,-2,-1,-1,-2,0
230000,59,-1,0,0,0,0,1
220000,38,0,0,0,0,0,1
230000,32,0,0,0,0,0,0
500000,38,0,0,0,-1,0,0
90000,41,-1,-1,-1,-1,-1,0
390000,35,0,0,0,0,0,1
400000,41,0,0,0,0,0,0
180000,34,-1,-1,-1,-1,-1,0
60000,38,1,2,2,0,0,0
120000,32,-1,-1,-1,-1,-1,0
60000,29,0,0,0,0,0,0
50000,44,0,0,0,0,0,0
70000,37,0,0,0,2,0,0
500000,38,-1,2,-1,-1,-1,0
200000,31,-2,-2,-2,-2,-2,0
250000,40,0,0,0,0,-1,0
140000,26,0,0,2,2,2,1
70000,28,0,0,0,0,-1,0
90000,48,1,2,2,2,2,0
100000,43,-1,-1,-1,-1,-1,0
190000,31,0,0,0,0,0,0
230000,42,-1,-1,-1,-1,-1,0
320000,39,0,0,0,0,0,0
220000,36,-1,-1,-1,0,-1,1
260000,34,-1,-1,-1,-1,-1,0
90000,32,-2,-2,-2,-2,-2,0
30000,43,2,2,2,2,2,0
260000,30,0,0,0,2,0,0
170000,28,0,0,-1,-1,-2,0
80000,28,0,0,0,0,0,1
50000,41,-1,-1,-1,-1,-1,0
200000,47,0,0,0,0,0,0
20000,23,0,0,2,0,0,0
250000,49,-1,-1,-2,-1,-1,0
20000,38,0,0,0,2,2,0
30000,38,0,0,0,0,2,0
90000,35,1,2,2,2,2,0
230000,46,0,0,0,0,0,0
130000,33,0,0,0,0,0,1
30000,53,-2,-2,-2,-2,-2,0
160000,35,-1,-1,-1,-1,-1,0
500000,43,-1,-1,-1,0,0,0
180000,28,0,0,0,0,0,0
80000,30,0,0,0,0,0,0
120000,26,-1,-1,-2,-1,-1,0
130000,31,-1,-1,-1,-1,-1,0
120000,35,-1,-1,-1,-1,-1,1
360000,28,-1,-1,-1,-1,-1,0
50000,23,2,2,2,2,2,1
20000,23,0,0,2,0,0,0
100000,56,0,0,-1,0,0,0
70000,32,0,0,0,0,0,0
50000,47,0,0,0,0,0,0
10000,22,1,2,0,0,0,0
290000,34,0,0,0,0,0,0
30000,31,0,0,0,0,0,0
410000,27,1,-1,0,0,0,0
360000,28,-1,-1,-1,0,0,1
140000,42,0,0,0,0,0,1
210000,32,0,0,0,0,0,0
220000,27,-1,-1,-1,-1,-1,0
20000,27,1,2,0,0,0,0
620000,45,2,2,0,0,0,1
360000,26,1,-2,-2,-2,-1,0
20000,21,-1,-1,2,2,-1,0
50000,23,0,0,0,0,0,0
50000,30,0,0,0,0,0,0
10000,46,0,0,2,2,2,1
100000,50,2,0,0,3,3,1
50000,26,-2,-2,-2,-2,-2,0
60000,25,-1,-1,0,-1,-1,0
440000,35,0,0,0,0,0,0
120000,44,0,0,0,0,0,0
50000,52,0,0,0,-2,-1,0
110000,40,1,2,2,2,2,0
200000,38,-1,-1,-2,-2,-1,0
150000,28,1,-2,-2,-2,-2,0
30000,36,2,3,2,2,0,1
100000,24,0,0,0,0,-1,0
360000,34,-1,0,0,-1,0,0
390000,31,0,0,0,0,0,0
220000,41,1,-2,-2,-2,-2,1
160000,25,-2,-2,-2,-2,-2,0
230000,28,-1,-1,0,0,0,0
120000,27,0,0,0,0,0,0
100000,52,0,0,2,2,2,1
190000,41,-1,-1,-1,-1,-1,1
50000,56,0,0,0,0,0,1
240000,42,1,-1,-1,-2,-2,0
40000,24,-2,-2,-2,-2,-2,0
630000,47,0,0,0,-1,-1,0
160000,33,-2,-2,-2,-2,-2,0
110000,32,0,0,2,2,2,0
20000,29,0,0,0,-2,-2,0
210000,53,0,0,0,0,0,0
270000,34,-1,-1,0,-1,-1,0
360000,52,-2,-2,-2,-2,-2,0
60000,42,-1,-1,-1,-1,-1,0
360000,38,-1,0,0,0,0,0
390000,45,2,2,2,-1,2,0
250000,35,-2,-2,-2,-2,-2,0
90000,24,0,0,0,0,0,1
360000,28,-1,-1,-1,-1,-1,0
50000,26,0,0,0,0,0,0
270000,40,0,0,0,-2,-2,0
200000,29,1,-1,-1,-1,-1,0
50000,23,0,0,0,0,0,0
350000,33,-1,-1,-1,-2,-2,0
160000,60,-2,-1,-1,0,-1,1
80000,49,-1,-1,-1,-1,-1,0
290000,53,2,0,0,0,0,1
270000,28,-1,-1,-1,0,0,0
80000,31,-1,-1,-1,-1,2,0
50000,36,0,0,0,0,0,0
30000,35,-2,-1,-1,-1,-1,0
30000,28,1,-1,-1,-2,-2,1
90000,33,-1,0,0,0,0,0
160000,26,-1,-1,-1,-1,-1,0
80000,53,0,0,0,0,0,0
50000,42,0,0,0,0,0,0
20000,25,0,0,0,0,0,0
220000,43,1,-2,-2,-2,-2,1
210000,25,-1,-1,2,-1,-1,1
130000,29,0,0,0,0,0,0
260000,31,-1,-1,0,0,-1,0
230000,30,0,0,0,-1,0,0
160000,34,0,0,0,0,0,0
50000,35,0,0,0,0,0,0
80000,32,0,0,0,0,0,0
110000,46,0,0,0,0,0,0
200000,43,0,0,0,0,0,0
360000,29,0,0,0,0,0,0
210000,31,1,-2,-2,-2,-2,0
80000,24,2,0,0,0,0,0
300000,36,-1,-1,2,0,-1,1
310000,43,0,0,0,0,0,0
30000,59,-1,-1,-1,-1,-1,1
170000,53,0,0,0,0,0,0
140000,28,2,2,2,0,0,0
180000,31,1,-2,-2,-2,-2,0
50000,34,1,2,2,2,2,0
50000,36,0,0,0,0,0,0
110000,24,0,0,0,0,2,0
450000,36,-2,-2,-2,-2,-2,0
200000,34,-1,-1,-1,-1,-1,0
220000,43,0,0,-1,-1,-1,0
360000,29,0,0,-2,-2,-2,1
50000,37,0,0,0,0,0,0
40000,23,2,2,0,0,0,0
190000,37,1,2,2,2,2,0
150000,33,0,0,0,0,0,0
200000,37,1,-2,-2,-2,-1,0
270000,56,0,0,0,0,0,0
60000,25,0,0,0,0,0,0
200000,39,0,0,0,0,0,0
150000,39,0,0,0,0,0,0
180000,28,-1,-1,-1,-1,-1,0
90000,27,0,0,-2,-2,-2,0
360000,37,1,-2,-2,-2,-1,0
90000,24,-1,-1,-2,-2,-2,0
20000,24,0,0,0,0,2,0
70000,46,0,0,0,0,0,0
230000,39,-1,-1,-1,-1,-1,0
30000,48,0,0,0,0,0,0
200000,45,-1,-1,-1,-1,-1,0
100000,49,-1,-1,-2,-2,-2,0
50000,23,0,0,0,0,0,0
20000,25,0,0,0,0,0,0
210000,47,-2,-2,-2,-2,-2,0
110000,56,0,0,0,0,0,0
20000,44,-1,-1,-1,-1,-1,0
50000,49,0,0,0,0,0,0
50000,41,0,0,0,0,0,0
400000,40,-1,-1,-1,-1,-1,0
170000,31,0,0,0,0,0,0
280000,42,0,0,0,0,0,0
130000,28,0,0,0,0,-2,0
210000,32,0,0,0,0,0,0
370000,28,0,0,0,0,0,0
30000,31,0,0,2,0,0,0
150000,39,1,-1,-1,-2,-2,0
60000,31,2,0,0,-2,-2,1
80000,24,0,0,0,0,0,0
280000,44,2,2,2,2,2,1
20000,46,8,7,6,5,4,0
270000,32,-2,-2,-2,-2,-2,0
240000,26,0,0,-1,-1,-1,0
20000,22,0,0,0,0,0,0
450000,42,1,-2,-2,-1,-1,1
10000,33,0,0,0,0,0,0
280000,39,-2,-2,-2,-2,-2,1
290000,27,0,0,0,0,-1,0
190000,28,0,0,0,0,0,1
80000,23,0,0,0,0,0,0
280000,28,-1,2,-1,-1,0,0
160000,33,-2,-2,-2,-2,-2,0
90000,40,0,0,0,-1,-1,1
140000,37,-1,-1,-1,-2,-2,0
50000,22,0,0,0,0,0,0
40000,32,0,0,0,2,2,0
130000,43,0,0,0,0,0,0
70000,27,0,0,0,0,0,0
30000,35,0,0,0,0,0,0
100000,35,1,2,2,2,2,0
20000,30,2,2,2,0,0,1
30000,34,2,-1,2,2,2,0
20000,34,0,0,0,0,0,1
100000,28,2,0,0,0,0,1
30000,25,2,2,7,7,7,1
320000,41,0,0,0,0,0,0
90000,42,2,2,2,2,2,1
190000,40,2,2,2,2,2,1
200000,28,0,0,0,0,0,0
300000,31,-1,-1,-1,-1,0,0
30000,56,-1,0,0,-2,-2,0
110000,45,0,0,0,0,0,0
230000,29,-2,-2,-2,-2,-2,0
230000,35,0,0,0,0,-2,0
310000,28,0,0,0,0,0,0
320000,40,0,0,0,0,0,0
360000,47,-1,-1,-1,0,-1,0
20000,41,-1,-1,-1,0,0,1
170000,27,0,0,0,0,0,0
140000,40,0,0,0,0,0,0
80000,32,0,0,0,0,0,0
150000,35,0,0,0,-1,-1,0
170000,27,-1,2,2,-2,-2,0
200000,29,2,0,0,0,0,1
70000,30,0,0,2,0,0,0
320000,37,-2,-2,-2,-2,-2,0
150000,29,-2,-2,-2,-2,-2,0
50000,34,0,0,0,-1,0,0
90000,34,-1,2,2,-2,-2,0
280000,41,-2,-2,-2,-2,-1,0
300000,31,0,0,0,0,2,0
400000,40,-2,-2,-2,-2,-1,0
200000,27,-1,-1,-1,-1,-1,0
10000,22,0,0,0,0,-2,1
50000,30,1,3,2,0,0,1
30000,22,1,2,4,3,2,0
50000,26,-1,0,0,0,0,1
50000,38,1,2,0,0,0,0
30000,46,1,2,2,2,2,0
20000,24,0,0,-1,2,0,0
20000,49,0,0,0,0,0,0
50000,49,0,0,0,0,0,0
30000,42,0,0,0,0,0,0
360000,30,1,2,-1,0,-1,0
170000,42,1,-1,-1,-2,-2,0
400000,31,-2,-2,-2,-2,-2,0
50000,49,0,0,0,0,0,0
160000,27,0,0,0,0,0,0
70000,33,0,0,0,0,0,1
150000,35,1,-2,-2,-2,-2,0
80000,48,0,0,0,0,0,0
30000,22,0,0,2,0,0,0
10000,22,0,0,0,0,0,1
180000,27,1,-1,-1,-1,-1,0
320000,47,-1,-1,-1,-1,-1,0
80000,34,0,0,0,2,2,0
10000,45,0,0,0,2,0,1
360000,39,-1,-1,-1,0,-1,0
450000,33,-2,-2,-2,-2,-2,0
330000,29,0,0,0,0,-1,0
60000,29,-1,2,-1,-1,2,1
50000,26,0,0,0,0,0,0
200000,38,0,0,0,0,0,0
120000,34,1,2,-1,-1,-2,0
160000,37,-1,-1,-1,-1,-1,0
110000,57,0,0,0,0,0,0
70000,50,-2,-2,-1,0,0,0
150000,28,0,0,0,0,0,0
610000,31,0,0,0,0,0,0
110000,25,0,0,0,0,0,0
80000,25,2,0,0,2,0,1
170000,33,0,0,0,0,0,0
110000,30,-1,-1,-1,-1,-2,0
140000,51,0,0,0,0,0,0
70000,51,0,0,0,2,0,0
260000,46,-2,-2,-2,-2,-2,0
170000,38,0,0,0,0,0,0
